timestamp,temp_c,rh,rain_mm
2025-08-07 04:00:00,10.8,81,0.0
2025-08-07 05:00:00,9.3,88,0.0
2025-08-07 06:00:00,9.9,89,0.0
2025-08-07 07:00:00,12.0,74,0.0
2025-08-07 08:00:00,15.3,85,0.0
2025-08-07 09:00:00,18.2,78,0.0
2025-08-07 10:00:00,18.5,85,0.0
2025-08-07 11:00:00,20.9,71,0.0
2025-08-07 12:00:00,22.5,58,0.0
2025-08-07 13:00:00,23.7,46,0.0
2025-08-07 14:00:00,24.4,41,0.0
2025-08-07 15:00:00,24.5,47,0.0
2025-08-07 16:00:00,25.1,42,0.0
2025-08-07 17:00:00,25.3,41,0.0
2025-08-07 18:00:00,24.5,45,0.0
2025-08-07 19:00:00,23.6,52,0.0
2025-08-07 20:00:00,21.1,63,0.0
2025-08-07 21:00:00,18.0,74,0.0
2025-08-07 22:00:00,16.4,77,0.0
2025-08-07 23:00:00,15.6,82,0.0
